temperature_bottom	temperature_top	temperature_spiral_middle_outlet	temperature_spiral_edge_outlet	voltage	current	European_standard_time_date	European_standard_time_of_day	time_t
82.46	95.05	58.5	30.08	15.85	0.19363	2.9.2015	05:17:28	1441171048
82.34	94.94	58.69	29.69	15.84	0.19306	2.9.2015	05:17:29	1441171049
82.33	94.99	58.98	29.59	15.85	0.19349	2.9.2015	05:17:30	1441171050
82.85	94.95	59.08	29.69	15.86	0.19369	2.9.2015	05:17:31	1441171051
82.7	95.01	58.98	29.39	15.83	0.19269	2.9.2015	05:17:32	1441171052
82.5	95.31	59.28	29.69	15.86	0.19309	2.9.2015	05:17:33	1441171053
82.13	95.11	59.67	29.79	15.85	0.19297	2.9.2015	05:17:35	1441171055
82.5	94.89	59.18	29.39	15.84	0.194	2.9.2015	05:17:36	1441171056
82.72	94.89	59.86	29.3	15.87	0.19265	2.9.2015	05:17:37	1441171057
82.53	94.83	59.67	29.49	15.84	0.19206	2.9.2015	05:17:38	1441171058
82.6	94.74	59.57	29.2	15.86	0.1924	2.9.2015	05:17:39	1441171059
82.6	94.83	60.25	29.79	15.85	0.19365	2.9.2015	05:17:40	1441171060
82.71	94.95	60.16	29.98	15.85	0.19279	2.9.2015	05:17:41	1441171061
82.96	94.84	60.06	29.98	15.84	0.19207	2.9.2015	05:17:43	1441171063
82.94	94.71	60.35	29.49	15.85	0.19195	2.9.2015	05:17:44	1441171064
82.37	95.14	60.55	29.88	15.84	0.19213	2.9.2015	05:17:45	1441171065
82.77	94.78	60.25	29.49	15.85	0.19254	2.9.2015	05:17:46	1441171066
82.77	94.78	60.55	29.49	15.86	0.19262	2.9.2015	05:17:47	1441171067
82.19	94.86	61.13	29.88	15.85	0.19294	2.9.2015	05:17:48	1441171068
82.23	94.79	61.33	29.98	15.85	0.19188	2.9.2015	05:17:50	1441171070
82.3	94.66	60.64	30.27	15.84	0.19233	2.9.2015	05:17:51	1441171071
82.14	94.61	61.13	29.39	15.85	0.19336	2.9.2015	05:17:52	1441171072
82.76	94.45	60.74	30.66	15.84	0.19333	2.9.2015	05:17:53	1441171073
82.55	94.26	61.13	29.49	15.83	0.19287	2.9.2015	05:17:54	1441171074
82.63	93.88	61.82	29.39	15.86	0.19269	2.9.2015	05:17:55	1441171075
82.43	94.06	61.72	29.49	15.83	0.19254	2.9.2015	05:17:56	1441171076
82.25	94.69	61.82	29.88	15.85	0.19094	2.9.2015	05:17:58	1441171078
81.71	94.31	62.01	29.69	15.84	0.19305	2.9.2015	05:17:59	1441171079
82.2	94.79	61.72	29.1	15.84	0.19293	2.9.2015	05:18:00	1441171080
82.35	94.84	62.01	29.79	15.85	0.19221	2.9.2015	05:18:01	1441171081
82.66	95.23	62.3	29	15.84	0.1923	2.9.2015	05:18:02	1441171082
82.77	95.06	62.6	29.2	15.86	0.19307	2.9.2015	05:18:03	1441171083
82.69	95.18	62.4	29.3	15.84	0.19284	2.9.2015	05:18:05	1441171085
81.84	94.85	62.4	29.59	15.87	0.19315	2.9.2015	05:18:06	1441171086
82.66	95.09	62.89	29.49	15.85	0.19303	2.9.2015	05:18:07	1441171087
82.55	95.11	62.79	29.39	15.85	0.19291	2.9.2015	05:18:08	1441171088
82.47	95.08	62.5	29.49	15.87	0.19271	2.9.2015	05:18:09	1441171089
82.73	95.14	62.7	29.39	15.86	0.19218	2.9.2015	05:18:10	1441171090
82.14	95.38	63.87	29.3	15.87	0.19276	2.9.2015	05:18:12	1441171092
82.6	95.58	62.89	28.91	15.87	0.19348	2.9.2015	05:18:13	1441171093
82.27	95.27	63.09	28.81	15.86	0.19364	2.9.2015	05:18:14	1441171094
82.74	95.48	63.48	29.69	15.88	0.19381	2.9.2015	05:18:15	1441171095
82.19	95.81	63.48	29.2	15.86	0.19303	2.9.2015	05:18:16	1441171096
82.43	95.61	64.16	29.49	15.85	0.19315	2.9.2015	05:18:17	1441171097
82.45	96.06	63.38	29.2	15.89	0.1922	2.9.2015	05:18:18	1441171098
82.68	95.86	63.28	29.88	15.86	0.19358	2.9.2015	05:18:20	1441171100
82.38	95.91	63.18	29.3	15.87	0.19457	2.9.2015	05:18:21	1441171101
82.2	96.15	63.87	29	15.88	0.19347	2.9.2015	05:18:22	1441171102
82.51	95.97	63.77	29.2	15.86	0.19261	2.9.2015	05:18:23	1441171103
82.29	95.7	63.77	29.2	15.88	0.19264	2.9.2015	05:18:24	1441171104
82.1	95.95	63.87	29.49	15.88	0.19269	2.9.2015	05:18:25	1441171105
82.05	95.38	63.48	29.88	15.87	0.19192	2.9.2015	05:18:27	1441171107
82.12	95.16	63.96	29.49	15.89	0.19212	2.9.2015	05:18:28	1441171108
81.77	95.25	63.38	29.98	15.88	0.19222	2.9.2015	05:18:29	1441171109
82	95.04	63.67	29	15.89	0.19271	2.9.2015	05:18:30	1441171110
82.08	95.2	63.96	29.39	15.89	0.19238	2.9.2015	05:18:31	1441171111
82.4	95.38	63.96	29.69	15.88	0.19372	2.9.2015	05:18:32	1441171112
82.01	95.31	63.96	29.69	15.89	0.1925	2.9.2015	05:18:33	1441171113
