1=clockwise	mantisse_flowrate	exponent_flowrate	temperature_top	temperature_bottom	temperature_spiral_middle_outlet	temperature_spiral_edge_outlet	voltage	current	European_standard_time_date	European_standard_time_of_day	time_t
1	3600	-2	76.37	73.64	64.75	35.94	16.53	0.18721	3.9.2015	14:29:42	1441290582
1	3600	-2	76.08	73.32	65.33	36.52	16.57	0.18688	3.9.2015	14:29:43	1441290583
1	3600	-2	76.05	74.21	64.55	35.84	16.56	0.18878	3.9.2015	14:29:44	1441290584
1	3600	-2	76.15	74.31	64.26	35.84	16.55	0.18958	3.9.2015	14:29:45	1441290585
1	3600	-2	76.12	74.25	64.55	35.35	16.58	0.18818	3.9.2015	14:29:47	1441290587
1	3600	-2	75.74	74	64.55	36.23	16.55	0.18746	3.9.2015	14:29:48	1441290588
1	3600	-2	75.82	73.66	63.48	36.23	16.59	0.1883	3.9.2015	14:29:49	1441290589
1	3600	-2	75.86	73.51	63.67	36.04	16.56	0.18761	3.9.2015	14:29:50	1441290590
1	3600	-2	75.77	73.63	64.26	36.13	16.6	0.18633	3.9.2015	14:29:51	1441290591
1	3600	-2	75.67	73.4	63.38	36.33	16.58	0.18609	3.9.2015	14:29:52	1441290592
1	3600	-2	75.78	73.18	62.89	35.45	16.58	0.18679	3.9.2015	14:29:54	1441290594
1	3600	-2	75.32	73.55	62.79	35.55	16.56	0.18825	3.9.2015	14:29:55	1441290595
1	3600	-2	75.45	73.63	62.99	35.84	16.57	0.18757	3.9.2015	14:29:56	1441290596
1	3600	-2	75.3	73.86	63.48	36.23	16.57	0.18659	3.9.2015	14:29:57	1441290597
1	3600	-2	75.37	73.31	62.6	35.94	16.57	0.18641	3.9.2015	14:29:58	1441290598
1	3600	-2	75.19	73.05	62.89	35.84	16.58	0.18665	3.9.2015	14:29:59	1441290599
1	3600	-2	75.38	73.32	61.82	35.94	16.57	0.18911	3.9.2015	14:30:00	1441290600
1	3600	-2	75.17	72.84	63.38	36.43	16.58	0.1874	3.9.2015	14:30:02	1441290602
1	3600	-2	74.87	72.8	62.3	36.82	16.58	0.18693	3.9.2015	14:30:03	1441290603
1	3600	-2	74.93	72.81	61.91	36.13	16.62	0.18941	3.9.2015	14:30:04	1441290604
1	3600	-2	74.67	72.49	61.43	35.94	16.58	0.18709	3.9.2015	14:30:05	1441290605
1	3600	-2	74.79	72.9	61.04	36.91	16.58	0.18678	3.9.2015	14:30:06	1441290606
1	3600	-2	74.65	72.56	61.13	36.23	16.6	0.18855	3.9.2015	14:30:07	1441290607
1	3600	-2	74.76	72.84	61.52	35.84	16.58	0.18734	3.9.2015	14:30:09	1441290609
1	3600	-2	74.62	73.02	61.04	36.52	16.61	0.18956	3.9.2015	14:30:10	1441290610
1	3600	-2	74.34	72.88	61.52	36.23	16.59	0.18826	3.9.2015	14:30:11	1441290611
1	3600	-2	74.44	72.61	60.64	36.62	16.61	0.18823	3.9.2015	14:30:12	1441290612
1	3600	-2	74.49	72.67	60.64	35.94	16.59	0.18666	3.9.2015	14:30:13	1441290613
1	3600	-2	74.5	72.88	59.96	36.13	16.6	0.18632	3.9.2015	14:30:14	1441290614
1	3600	-2	74.34	72.87	60.64	36.23	16.58	0.18727	3.9.2015	14:30:16	1441290616
1	3600	-2	74.05	73.24	60.55	36.72	16.58	0.18678	3.9.2015	14:30:17	1441290617
1	3600	-2	74.42	73.3	60.16	36.72	16.6	0.18756	3.9.2015	14:30:18	1441290618
1	3600	-2	74.11	72.92	59.67	36.13	16.58	0.18825	3.9.2015	14:30:19	1441290619
1	3600	-2	74.38	73.03	59.77	36.23	16.61	0.18834	3.9.2015	14:30:20	1441290620
1	3600	-2	73.97	73.08	59.38	36.82	16.59	0.18826	3.9.2015	14:30:21	1441290621
1	3600	-2	73.78	73.21	59.77	36.62	16.62	0.18889	3.9.2015	14:30:22	1441290622
1	3600	-2	73.98	72.59	59.28	36.62	16.63	0.18839	3.9.2015	14:30:24	1441290624
1	3600	-2	73.96	72.23	59.08	37.01	16.63	0.18901	3.9.2015	14:30:25	1441290625
1	3600	-2	73.69	72.03	59.08	36.13	16.63	0.18917	3.9.2015	14:30:26	1441290626
1	3600	-2	73.95	72.05	58.69	36.04	16.64	0.18919	3.9.2015	14:30:27	1441290627
1	3600	-2	73.61	72.49	58.89	36.62	16.62	0.18854	3.9.2015	14:30:28	1441290628
1	3600	-2	73.57	72.53	59.38	36.52	16.64	0.18736	3.9.2015	14:30:29	1441290629
1	3600	-2	73.55	72.97	59.18	36.23	16.62	0.18857	3.9.2015	14:30:31	1441290631
1	3600	-2	73.44	73.21	58.01	36.33	16.61	0.18838	3.9.2015	14:30:32	1441290632
1	3600	-2	73.57	73.1	58.4	36.33	16.64	0.18828	3.9.2015	14:30:33	1441290633
1	3600	-2	73.21	73.02	58.3	37.01	16.61	0.1879	3.9.2015	14:30:34	1441290634
1	3600	-2	73.16	73.22	57.81	36.13	16.63	0.18903	3.9.2015	14:30:35	1441290635
1	3600	-2	73.35	73.12	57.03	35.94	16.59	0.1887	3.9.2015	14:30:36	1441290636
1	3600	-2	73.39	72.78	57.52	36.82	16.63	0.18896	3.9.2015	14:30:37	1441290637
1	3600	-2	73.44	72.88	57.52	36.62	16.61	0.1883	3.9.2015	14:30:39	1441290639
1	3600	-2	73.03	72.3	57.32	37.01	16.62	0.1879	3.9.2015	14:30:40	1441290640
1	3600	-2	73	72.71	57.32	36.72	16.62	0.18716	3.9.2015	14:30:41	1441290641
1	3600	-2	73.1	72.87	57.42	36.82	16.62	0.18884	3.9.2015	14:30:42	1441290642
1	3600	-2	72.85	72.48	56.64	36.43	16.64	0.18757	3.9.2015	14:30:43	1441290643
1	3600	-2	72.84	72.43	57.23	37.01	16.62	0.18718	3.9.2015	14:30:44	1441290644
1	3600	-2	72.81	72.02	56.54	36.72	16.64	0.18862	3.9.2015	14:30:46	1441290646
1	3600	-2	72.68	71.73	55.76	36.82	16.63	0.18962	3.9.2015	14:30:47	1441290647
1	3600	-2	73	71.56	56.15	36.91	16.64	0.189	3.9.2015	14:30:48	1441290648
1	3600	-2	72.51	70.93	56.35	36.91	16.65	0.1892	3.9.2015	14:30:49	1441290649
1	3600	-2	72.68	70.89	56.84	36.43	16.62	0.18892	3.9.2015	14:30:50	1441290650
1	3600	-2	72.55	70.8	56.05	36.62	16.65	0.18941	3.9.2015	14:30:51	1441290651
1	3600	-2	72.52	70.92	56.45	36.91	16.62	0.18815	3.9.2015	14:30:53	1441290653
1	3600	-2	72.57	70.7	56.84	36.72	16.65	0.18952	3.9.2015	14:30:54	1441290654
1	3600	-2	72.29	70.76	55.27	36.91	16.62	0.19006	3.9.2015	14:30:55	1441290655
1	3600	-2	72.44	70.84	55.76	36.43	16.62	0.18823	3.9.2015	14:30:56	1441290656
1	3600	-2	72.24	71	56.05	36.72	16.65	0.18861	3.9.2015	14:30:57	1441290657
1	3600	-2	72.24	71.15	55.57	36.62	16.62	0.18836	3.9.2015	14:30:58	1441290658
1	3600	-2	72.38	71.46	55.47	36.62	16.62	0.18853	3.9.2015	14:30:59	1441290659
1	3600	-2	72.01	71.25	55.47	36.33	16.64	0.18834	3.9.2015	14:31:01	1441290661
1	3600	-2	72	71.12	55.47	36.33	16.64	0.18945	3.9.2015	14:31:02	1441290662
1	3600	-2	71.99	70.96	55.37	36.33	16.65	0.18833	3.9.2015	14:31:03	1441290663
1	3600	-2	71.98	71.25	54.79	37.01	16.67	0.18896	3.9.2015	14:31:04	1441290664
1	3600	-2	71.88	70.67	54.69	36.62	16.66	0.18901	3.9.2015	14:31:05	1441290665
1	3600	-2	71.65	70.47	54.98	36.72	16.65	0.18865	3.9.2015	14:31:06	1441290666
1	3600	-2	71.72	70.59	54.69	36.91	16.66	0.18887	3.9.2015	14:31:08	1441290668
1	3600	-2	71.55	70.06	54.49	36.91	16.64	0.18914	3.9.2015	14:31:09	1441290669
1	3600	-2	71.74	70.34	54.3	36.82	16.68	0.18935	3.9.2015	14:31:10	1441290670
1	3600	-2	71.65	70.09	54.2	36.72	16.65	0.18809	3.9.2015	14:31:11	1441290671
1	3600	-2	71.67	70.38	54.39	36.91	16.66	0.18782	3.9.2015	14:31:12	1441290672
1	3600	-2	71.84	70.67	54.39	37.01	16.68	0.1898	3.9.2015	14:31:13	1441290673
1	3600	-2	71.66	70.73	53.71	36.82	16.63	0.18885	3.9.2015	14:31:14	1441290674
1	3600	-2	71.48	70.69	55.08	37.21	16.67	0.18887	3.9.2015	14:31:16	1441290676
1	3600	-2	71.48	71	54.1	37.01	16.66	0.18768	3.9.2015	14:31:17	1441290677
1	3600	-2	71.03	71.28	53.71	37.4	16.66	0.1875	3.9.2015	14:31:18	1441290678
1	3600	-2	71.3	71.33	53.03	36.72	16.68	0.18792	3.9.2015	14:31:19	1441290679
